2026-01-26 16:32:26 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39187 role=reactant
2026-01-26 16:32:32 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39187 role=product
2026-01-26 16:32:32 | WARNING | Pair train__train_156__RHEA_39187 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:32:39 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39199 role=reactant
2026-01-26 16:32:45 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39199 role=product
2026-01-26 16:32:45 | WARNING | Pair train__train_156__RHEA_39199 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:32:52 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39211 role=reactant
2026-01-26 16:32:59 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39211 role=product
2026-01-26 16:32:59 | WARNING | Pair train__train_156__RHEA_39211 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:33:34 | WARNING | All conformers clashing pair_id=train__train_165__RHEA_25480 role=product
2026-01-26 16:33:34 | WARNING | Pair train__train_165__RHEA_25480 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:34:15 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_38963 role=reactant
2026-01-26 16:34:21 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_38963 role=product
2026-01-26 16:34:21 | WARNING | Pair train__train_170__RHEA_38963 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:34:33 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_50052 role=product
2026-01-26 16:34:33 | WARNING | Pair train__train_170__RHEA_50052 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:34:57 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_50084 role=product
2026-01-26 16:34:57 | WARNING | Pair train__train_170__RHEA_50084 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:35:03 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_66176 role=reactant
2026-01-26 16:35:09 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_66176 role=product
2026-01-26 16:35:09 | WARNING | Pair train__train_170__RHEA_66176 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:35:15 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_66180 role=reactant
2026-01-26 16:35:21 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_66180 role=product
2026-01-26 16:35:21 | WARNING | Pair train__train_170__RHEA_66180 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:35:28 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_66192 role=reactant
2026-01-26 16:35:35 | WARNING | All conformers clashing pair_id=train__train_170__RHEA_66192 role=product
2026-01-26 16:35:35 | WARNING | Pair train__train_170__RHEA_66192 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:35:44 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_47228 role=reactant
2026-01-26 16:35:53 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_47228 role=product
2026-01-26 16:35:53 | WARNING | Pair train__train_172__RHEA_47228 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:36:02 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_47232 role=reactant
2026-01-26 16:36:11 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_47232 role=product
2026-01-26 16:36:11 | WARNING | Pair train__train_172__RHEA_47232 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:36:20 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_47236 role=reactant
2026-01-26 16:36:28 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_47236 role=product
2026-01-26 16:36:28 | WARNING | Pair train__train_172__RHEA_47236 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:36:38 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_48216 role=reactant
2026-01-26 16:36:47 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_48216 role=product
2026-01-26 16:36:47 | WARNING | Pair train__train_172__RHEA_48216 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:36:56 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_48220 role=reactant
2026-01-26 16:37:05 | WARNING | All conformers clashing pair_id=train__train_172__RHEA_48220 role=product
2026-01-26 16:37:05 | WARNING | Pair train__train_172__RHEA_48220 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:41:37 | WARNING | All conformers clashing pair_id=train__train_181__RHEA_59372 role=product
2026-01-26 16:41:37 | WARNING | Pair train__train_181__RHEA_59372 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:51:33 | WARNING | All conformers clashing pair_id=train__train_216__RHEA_36315 role=reactant
2026-01-26 16:51:44 | WARNING | All conformers clashing pair_id=train__train_216__RHEA_36315 role=product
2026-01-26 16:51:44 | WARNING | Pair train__train_216__RHEA_36315 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:52:25 | WARNING | All conformers clashing pair_id=train__train_246__RHEA_34631 role=reactant
2026-01-26 16:52:31 | WARNING | All conformers clashing pair_id=train__train_246__RHEA_34631 role=product
2026-01-26 16:52:31 | WARNING | Pair train__train_246__RHEA_34631 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:55:09 | WARNING | All conformers clashing pair_id=train__train_252__RHEA_16645 role=reactant
2026-01-26 16:55:15 | WARNING | Pair train__train_252__RHEA_16645 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:55:21 | WARNING | All conformers clashing pair_id=train__train_252__RHEA_30143 role=reactant
2026-01-26 16:55:26 | WARNING | Pair train__train_252__RHEA_30143 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:55:32 | WARNING | All conformers clashing pair_id=train__train_252__RHEA_30135 role=reactant
2026-01-26 16:55:38 | WARNING | Pair train__train_252__RHEA_30135 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:55:44 | WARNING | All conformers clashing pair_id=train__train_252__RHEA_40139 role=reactant
2026-01-26 16:55:50 | WARNING | Pair train__train_252__RHEA_40139 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:55:56 | WARNING | All conformers clashing pair_id=train__train_252__RHEA_40119 role=reactant
2026-01-26 16:56:02 | WARNING | Pair train__train_252__RHEA_40119 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:56:20 | WARNING | All conformers clashing pair_id=train__train_252__RHEA_30139 role=reactant
2026-01-26 16:56:26 | WARNING | Pair train__train_252__RHEA_30139 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:57:32 | WARNING | All conformers clashing pair_id=train__train_258__RHEA_43396 role=reactant
2026-01-26 16:57:39 | WARNING | All conformers clashing pair_id=train__train_258__RHEA_43396 role=product
2026-01-26 16:57:39 | WARNING | Pair train__train_258__RHEA_43396 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 17:04:05 | INFO | Progress split=train rows=1000 dummy_pairs=564
2026-01-26 17:05:33 | WARNING | All conformers clashing pair_id=train__train_277__RHEA_11308 role=reactant
