name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_sln,./data/rfd3/ccd_ligands/structures/SLN.cif,SLN,581.411,38,20,"C,H,N,O,P",C18 H29 N7 O11 P2,"1-(4-AZIDO-2-NITROPHENYL)AMINO-3-(1-OXYL-2,2,5,5-TETRAMETHYLPYRROLIDINYL-3-CARBAMIDO)-2-PROPYLDISPHOSPHATE",6
ccd_79g,./data/rfd3/ccd_ligands/structures/79G.cif,79G,581.723,41,10,"C,H,N,O,S",C31 H39 N3 O6 S,"(4S)-4-amino-N-[(2S,3S)-3-hydroxy-4-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}-1-phenylbutan-2-yl]-3,4-dihydro-2H-chromene-6-carboxamide",6
ccd_bla,./data/rfd3/ccd_ligands/structures/BLA.cif,BLA,582.646,43,10,"C,H,N,O",C33 H34 N4 O6,BILIVERDINE IX ALPHA,6
ccd_a1agf,./data/rfd3/ccd_ligands/structures/A1AGF.cif,A1AGF,582.666,40,14,"C,H,N,O,S",C26 H38 N4 O9 S,"(1S,2S)-2-{[N-({[(2S)-1-benzyl-5-oxopyrrolidin-2-yl]methoxy}carbonyl)-L-leucyl]amino}-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",6
ccd_8q9,./data/rfd3/ccd_ligands/structures/8Q9.cif,8Q9,583.452,36,13,"BR,C,H,N,O,S",C23 H27 Br N4 O7 S,"2-[[5-[(5-bromanyl-2-methoxy-phenyl)sulfonylamino]-3-methyl-1,2-benzoxazol-6-yl]oxy]-N-(2-morpholin-4-ylethyl)ethanamide",6
ccd_a1h55,./data/rfd3/ccd_ligands/structures/A1H55.cif,A1H55,583.507,37,13,"C,CL,H,N,O,S",C24 H24 Cl2 N4 O5 S2,"~{N}-[4-[4-[3,5-bis(chloranyl)phenyl]piperazin-1-yl]sulfonylphenyl]-3-(methylsulfonylamino)benzamide",6
ccd_i63,./data/rfd3/ccd_ligands/structures/I63.cif,I63,583.669,42,10,"C,H,N,O",C32 H41 N O9,"{3-[(1R)-3-(3,4-dimethoxyphenyl)-1-({[(2S)-1-(3,3-dimethyl-2-oxopentanoyl)piperidin-2-yl]carbonyl}oxy)propyl]phenoxy}acetic acid",6
ccd_x74,./data/rfd3/ccd_ligands/structures/X74.cif,X74,583.783,42,7,"C,H,N,O,S",C35 H41 N3 O3 S,tert-butyl [(2R)-1-(naphthalen-1-yl)-3-{[(2R)-1-oxo-3-phenyl-1-{[3-(pyridin-3-yl)propyl]amino}propan-2-yl]sulfanyl}propan-2-yl]carbamate,6
ccd_gbr,./data/rfd3/ccd_ligands/structures/GBR.cif,GBR,584.104,32,21,"BR,C,H,N,O,P",C11 H17 Br N5 O12 P3,5'-O-[(R)-{[(S)-[(R)-bromo(phosphono)methyl](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]-2'-deoxyguanosine,6
ccd_2iu,./data/rfd3/ccd_ligands/structures/2IU.cif,2IU,584.258,37,20,"C,H,N,O,P",C17 H19 N2 O15 P3,"[[(2R,3S,5R)-5-[5-(1-benzofuran-2-yl)-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate",6
ccd_mxg,./data/rfd3/ccd_ligands/structures/MXG.cif,MXG,584.642,40,16,"C,H,N,O,S",C24 H36 N6 O9 S,"2-(1-{2-[4-(2-ACETYLAMINO-PROPIONYLAMINO)-4-CARBOXY-BUTYRYLAMINO]-6-AMINO-HEXANOYLAMINO}-2-OXO-ETHYL)-5-METHYLENE-5,6-DIHYDRO-2H-[1,3]THIAZINE-4-CARBOXYLIC ACID",6
ccd_bvx,./data/rfd3/ccd_ligands/structures/BVX.cif,BVX,584.662,43,10,"C,H,N,O",C33 H36 N4 O6,3-[2-[(~{Z})-[5-[(4-ethenyl-3-methyl-5-oxidanylidene-pyrrol-2-ylidene)methyl]-3-(3-hydroxy-3-oxopropyl)-4-methyl-pyrrol-2-ylidene]methyl]-5-[(~{Z})-(3-ethyl-4-methyl-5-oxidanylidene-pyrrol-2-ylidene)methyl]-4-methyl-1~{H}-pyrrol-3-yl]propanoic acid,6
ccd_8b8,./data/rfd3/ccd_ligands/structures/8B8.cif,8B8,584.665,43,11,"C,H,N,O",C32 H36 N6 O5,(2S)-3-(1H-indol-3-yl)-N-[[1-(5-methoxypyridin-2-yl)cyclohexyl]methyl]-2-methyl-2-[(4-nitrophenyl)carbamoylamino]propanamide,6
ccd_ps7,./data/rfd3/ccd_ligands/structures/PS7.cif,PS7,586.677,39,9,"C,H,O,P",C30 H52 O7 P2,"{(1R,2R,3R)-2-[(3E)-4,8-dimethylnona-3,7-dien-1-yl]-2-methyl-3-[(1E,5E)-2,6,10-trimethylundeca-1,5,9-trien-1-yl]cyclopropyl}methyl trihydrogen diphosphate",6
ccd_3cb,./data/rfd3/ccd_ligands/structures/3CB.cif,3CB,587.691,41,14,"C,H,N,O,S",C27 H37 N7 O6 S,N-[(3-CARBOXYBENZYL)SULFONYL]ISOLEUCYL-N~1~-{4-[AMINO(IMINO)METHYL]BENZYL}-5-IMINOORNITHINAMIDE,6
ccd_pz1,./data/rfd3/ccd_ligands/structures/PZ1.cif,PZ1,587.706,43,9,"C,H,N,O",C34 H41 N3 O6,"(6R)-6-({[1-(3-HYDROXYPROPYL)-1,7-DIHYDROQUINOLIN-7-YL]OXY}METHYL)-1-(4-{3-[(2-METHOXYBENZYL)OXY]PROPOXY}PHENYL)PIPERAZIN-2-ONE",6
ccd_a1d5i,./data/rfd3/ccd_ligands/structures/A1D5I.cif,A1D5I,588.273,32,13,"BR,C,H,N,O,S",C19 H20 Br2 N6 O4 S,Macitentan,6
ccd_w0w,./data/rfd3/ccd_ligands/structures/W0W.cif,W0W,588.479,40,11,"C,CL,H,N,O",C29 H31 Cl2 N3 O6,"(1R,2S,5S)-3-[bis(4-chlorophenoxy)acetyl]-N-{(2S)-1-hydroxy-3-[(3R)-2-oxo-3,4-dihydro-2H-pyrrol-3-yl]propan-2-yl}-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide",6
ccd_cyc,./data/rfd3/ccd_ligands/structures/CYC.cif,CYC,588.694,43,10,"C,H,N,O",C33 H40 N4 O6,PHYCOCYANOBILIN,6
ccd_kq6,./data/rfd3/ccd_ligands/structures/KQ6.cif,KQ6,588.694,43,10,"C,H,N,O",C33 H40 N4 O6,Bilin 584 (doubly linked),6
ccd_t1r,./data/rfd3/ccd_ligands/structures/T1R.cif,T1R,588.712,41,11,"C,H,N,O,S",C30 H40 N2 O8 S,"(1R,3aS,5R,6S,7aR)-octahydro-1,6-epoxy-2-benzofuran-5-yl [(2S,3R)-3-hydroxy-4-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}-1-phenylbutan-2-yl]carbamate",6
ccd_ud4,./data/rfd3/ccd_ligands/structures/UD4.cif,UD4,590.370,38,21,"C,H,N,O,P",C17 H28 N4 O15 P2,"UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranose",6
ccd_9af,./data/rfd3/ccd_ligands/structures/9AF.cif,9AF,590.710,43,10,"C,H,N,O",C33 H42 N4 O6,"dimethyl 4-{3-[({3-[4-(3-methoxyphenyl)piperidin-1-yl]propyl}carbamoyl)amino]phenyl}-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate",6
ccd_a1iv1,./data/rfd3/ccd_ligands/structures/A1IV1.cif,A1IV1,592.145,39,11,"C,CL,F,H,N,O,S",C28 H31 Cl F N3 O4 S2,"4-[[(3R)-3-[1-(4-chloranyl-2-fluoranyl-phenyl)piperidin-4-yl]-3-methyl-2H-indol-1-yl]sulfonyl]-N,N-dimethyl-benzenesulfonamide",6
