name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_nlm,./data/rfd3/ccd_ligands/structures/NLM.cif,NLM,348.783,21,10,"C,CL,H,N,O,S",C11 H9 Cl N2 O5 S2,4-[(3-chloropyridin-2-yl)sulfamoyl]benzene-1-sulfonic acid,3
ccd_1gb,./data/rfd3/ccd_ligands/structures/1GB.cif,1GB,349.383,26,6,"C,H,N,O",C20 H19 N3 O3,"(3S,6S)-3-(4-hydroxybenzyl)-6-(1H-indol-3-ylmethyl)piperazine-2,5-dione",3
ccd_t23,./data/rfd3/ccd_ligands/structures/T23.cif,T23,350.262,23,11,"C,H,N,O,P",C12 H19 N2 O8 P,2'-O-METHYL-3'-METHYL-3'-DEOXY-ARABINOFURANOSYL-THYMINE-5'-PHOSPHATE,3
ccd_qup,./data/rfd3/ccd_ligands/structures/QUP.cif,QUP,351.790,25,7,"C,CL,H,N,O",C18 H14 Cl N5 O,"1-(5-chloro-2-methylphenyl)-4-(pyrrolo[2,1-f][1,2,4]triazin-4-yl)-1H-pyrrole-2-carboxamide",3
ccd_qt3,./data/rfd3/ccd_ligands/structures/QT3.cif,QT3,351.829,25,5,"C,CL,H,N,O",C20 H18 Cl N3 O,"(1R)-7-chloro-N-(isoquinolin-4-yl)-2-methyl-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",3
ccd_imx,./data/rfd3/ccd_ligands/structures/IMX.cif,IMX,352.359,26,6,"C,F,H,N,O",C20 H17 F N2 O3,"[(1R,2R)-2-{[(5-fluoro-1H-indol-2-yl)carbonyl]amino}-2,3-dihydro-1H-inden-1-yl]acetic acid",3
ccd_9en,./data/rfd3/ccd_ligands/structures/9EN.cif,9EN,353.412,24,8,"C,F,H,N,O,S",C16 H20 F N3 O3 S,"~{N}-[[(5~{S})-3-(3-fluoranyl-4-thiomorpholin-4-yl-phenyl)-2-oxidanylidene-1,3-oxazolidin-5-yl]methyl]ethanamide",3
ccd_h8j,./data/rfd3/ccd_ligands/structures/H8J.cif,H8J,353.458,26,5,"C,H,N,O",C21 H27 N3 O2,"(8alpha)-N-[(2S)-1-hydroxybutan-2-yl]-1,6-dimethyl-9,10-didehydroergoline-8-carboxamide",3
ccd_n87,./data/rfd3/ccd_ligands/structures/N87.cif,N87,354.353,26,6,"C,H,O",C20 H18 O6,"(1R,4R,5R)-1,4,5-trihydroxy-3-[3-(phenylcarbonyl)phenyl]cyclohex-2-ene-1-carboxylic acid",3
ccd_g9l,./data/rfd3/ccd_ligands/structures/G9L.cif,G9L,357.422,26,6,"C,F,H,N,O",C20 H24 F N3 O2,"8-fluoro-2-(3-piperidin-1-ylpropanoyl)-1,3,4,5-tetrahydrobenzo[c][1,6]naphthyridin-6(2H)-one",3
